City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
491,Ukiah,US,77.85,broken clouds,39.1502,-123.2078,Hampton Inn Ukiah
492,Pa Sang,TH,80.19,moderate rain,18.5262,98.9394,โรงแรม จามจุรี 99
505,Dwarka,IN,82.65,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
506,Poso,ID,81.41,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
510,Mach,PK,77.04,clear sky,29.8637,67.3298,Naqeebullah hotel mach نقیب اللہ ہوٹل مچھ
518,Tra Vinh,VN,86.31,overcast clouds,9.9347,106.3453,Hồng Ân
524,Port Hedland,AU,86.05,broken clouds,-20.3167,118.5667,The Esplanade Hotel
528,Ailigandi,PA,76.87,overcast clouds,9.2333,-78.0167,Akwa Reef Lodge
529,Cayenne,GF,75.09,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
533,Mianwali,PK,87.78,broken clouds,32.5741,71.5264,Hashmi Plaza
536,Phuket,TH,89.13,moderate rain,8.0,98.25,The Surin
542,Fare,PF,79.63,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
546,Kawalu,ID,77.54,overcast clouds,-7.3817,108.2082,West Jontor
547,Kulhudhuffushi,MV,83.3,scattered clouds,6.6221,73.07,Haajy Guest House 1
552,Porbandar,IN,82.89,clear sky,21.6422,69.6093,Lords Inn Porbandar
557,Paka,MY,83.89,overcast clouds,4.6374,103.4368,RUMBIA RESORT VILLA Paka Terengganu
558,Kroya,ID,77.59,overcast clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
563,Ranau,MY,77.13,broken clouds,5.9538,116.6641,The Second Room
564,Sao Jose Da Coroa Grande,BR,75.06,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
568,Machiques,VE,75.52,clear sky,10.0644,-72.545,hotel el markes
569,San Juan Del Sur,NI,77.9,overcast clouds,11.2529,-85.8705,Nuestra Casa
570,Mahibadhoo,MV,83.41,broken clouds,3.7833,72.9667,Omadhoo Inn
571,Akodia,IN,86.02,clear sky,23.3833,76.6,Mobile Shop
582,Valle De Guadalupe,MX,77.25,few clouds,21.0,-102.6167,Hotel Río
589,Mangrol,IN,83.26,clear sky,21.1167,70.1167,Hotel The Royal Honours
590,Jinzhou,CN,85.03,broken clouds,41.1078,121.1417,Sheraton Jinzhou Hotel
592,Meadow Lake,US,79.79,clear sky,34.8014,-106.5436,TumbleWeed RV Park
593,Aswan,EG,81.61,clear sky,24.0934,32.907,Nuba Nile
594,Kalmunai,LK,82.26,few clouds,7.4167,81.8167,VS Villa
595,Bang Saphan,TH,81.05,light rain,11.2126,99.5117,Ladawan Boutique Hotel
596,Cabedelo,BR,77.59,moderate rain,-6.9811,-34.8339,Hotel Pigalle
605,Nizwa,OM,84.52,scattered clouds,22.9333,57.5333,Orient Apartments
608,Majene,ID,83.55,broken clouds,-3.5403,118.9707,Kost Putri RABBANI
612,Zabid,YE,81.79,few clouds,14.1951,43.3152,مغرب التريبه
626,Port Moresby,PG,85.12,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
630,Hambantota,LK,79.14,few clouds,6.1241,81.1185,Bungalow 63
638,Lazaro Cardenas,MX,77.32,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
640,Shihezi,CN,79.77,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
642,El Sauce,NI,76.28,scattered clouds,12.8869,-86.539,Hotel Blanco
645,San Francisco De Coray,HN,76.8,light rain,13.6614,-87.5328,Las Uvas comunid
649,Dehloran,IR,83.32,clear sky,32.6941,47.2679,کافه گیم استورم
653,Caramay,PH,85.6,light rain,10.1815,119.236,Peace and Love Beach Club
657,Grand-Lahou,CI,77.38,moderate rain,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
658,Freetown,SL,79.25,moderate rain,8.484,-13.2299,The Country Lodge Hotel
662,Hami,CN,80.76,clear sky,42.8,93.45,Laoyutang Resort
665,Pangkalanbuun,ID,80.85,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
668,Miri,MY,85.28,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
674,Jacmel,HT,77.94,broken clouds,18.2342,-72.5347,Historic Hotel Florita
680,Pochutla,MX,80.82,clear sky,15.7432,-96.4661,Hotel Posada San Jose
