City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
102,Souillac,MU,2022-05-16 15:59:45,-20.5167,57.5167,77.38,69,40,13.8
103,Hervey Bay,AU,2022-05-16 15:59:45,-25.2986,152.8535,71.02,96,3,4.0
104,Chuy,UY,2022-05-16 15:59:45,-33.6971,-53.4616,55.11,77,62,17.76
105,Soyo,AO,2022-05-16 15:59:46,-6.1349,12.3689,80.96,79,98,9.64
106,Cabo San Lucas,MX,2022-05-16 15:56:06,22.8909,-109.9124,88.61,53,98,5.01
107,Dasoguz,TM,2022-05-16 15:59:46,41.8363,59.9666,89.55,18,0,2.3
108,Berdigestyakh,RU,2022-05-16 15:59:47,62.0989,126.6992,33.06,99,100,4.81
109,Mangrol,IN,2022-05-16 15:59:47,21.1167,70.1167,84.07,71,4,13.47
110,Tuktoyaktuk,CA,2022-05-16 15:59:48,69.4541,-133.0374,30.2,93,100,11.5
111,Juegang,CN,2022-05-16 15:59:48,32.3174,121.1855,65.95,61,49,11.77
112,Zharkent,KZ,2022-05-16 15:59:48,44.1628,80.0,72.82,39,63,1.23
113,Faanui,PF,2022-05-16 15:59:49,-16.4833,-151.75,80.33,70,95,9.48
114,Lata,PT,2022-05-16 15:59:49,40.1629,-8.3327,66.81,64,79,8.12
115,Grindavik,IS,2022-05-16 15:59:50,63.8424,-22.4338,58.95,71,75,8.05
116,Codrington,AU,2022-05-16 15:59:50,-38.2667,141.9667,50.92,73,100,12.37
117,Sabha,LY,2022-05-16 15:59:51,27.0377,14.4283,89.33,10,23,9.33
118,Kapaa,US,2022-05-16 15:59:51,22.0752,-159.319,71.58,95,58,1.01
119,Roald,NO,2022-05-16 15:59:51,62.5833,6.1333,60.17,57,0,19.57
120,Sambava,MG,2022-05-16 15:59:52,-14.2667,50.1667,76.44,78,2,15.97
121,Trincomalee,LK,2022-05-16 15:59:52,8.5711,81.2335,82.71,77,100,23.51
122,Atuona,PF,2022-05-16 15:59:53,-9.8,-139.0333,78.06,72,3,16.42
123,Riyadh,SA,2022-05-16 15:59:53,24.6877,46.7219,100.54,6,0,9.28
124,Saint George,US,2022-05-16 15:59:49,37.1041,-113.5841,82.44,9,12,1.01
125,Milkovo,RU,2022-05-16 15:59:54,54.7167,158.6167,36.28,97,100,1.54
126,Baghdad,IQ,2022-05-16 15:55:55,33.3406,44.4009,85.91,26,1,9.22
127,Avarua,CK,2022-05-16 15:59:54,-21.2078,-159.775,75.25,78,75,0.0
128,Emerald,AU,2022-05-16 15:59:54,-23.5333,148.1667,71.35,81,98,11.16
129,Korla,CN,2022-05-16 15:59:55,41.7597,86.1469,73.94,30,100,10.71
130,Muzhi,RU,2022-05-16 16:00:55,65.3667,64.6667,52.07,68,90,5.7
131,North Bend,US,2022-05-16 16:00:23,43.4065,-124.2243,53.24,97,97,3.76
132,Hilo,US,2022-05-16 16:00:56,19.7297,-155.09,77.29,98,53,1.99
133,Keti Bandar,PK,2022-05-16 16:00:56,24.1447,67.4497,84.47,69,0,23.87
134,Nisia Floresta,BR,2022-05-16 16:00:57,-6.0911,-35.2086,83.21,71,58,11.43
135,East London,ZA,2022-05-16 16:00:39,-33.0153,27.9116,70.02,75,0,13.22
136,Herzogenburg,AT,2022-05-16 16:00:57,48.2905,15.7314,81.3,40,49,3.0
137,Hualmay,PE,2022-05-16 16:00:58,-11.0964,-77.6139,70.54,66,78,10.02
138,Launceston,AU,2022-05-16 16:00:58,-41.45,147.1667,48.79,83,9,11.5
139,Qaanaaq,GL,2022-05-16 16:00:58,77.484,-69.3632,23.67,74,35,5.64
140,Seara,PT,2022-05-16 16:00:59,41.1818,-7.8003,68.95,62,89,8.19
141,Bonavista,CA,2022-05-16 16:00:59,48.6499,-53.1147,39.81,78,98,8.46
142,Bud,US,2022-05-16 16:01:00,39.447,-86.1758,72.41,65,2,9.84
143,Floro,NO,2022-05-16 16:01:00,61.5996,5.0328,64.47,36,0,5.75
144,Kailua,US,2022-05-16 16:01:00,21.4022,-157.7394,71.49,91,56,1.01
145,Cockburn Town,TC,2022-05-16 16:01:01,21.4612,-71.1419,79.39,84,80,18.14
146,Fort Nelson,CA,2022-05-16 16:01:01,58.8053,-122.7002,46.85,75,100,8.16
147,Dingle,PH,2022-05-16 16:01:02,10.9995,122.6711,78.26,86,74,1.74
148,Kodiak,US,2022-05-16 16:01:02,57.79,-152.4072,41.99,66,29,5.82
149,Dajal,PK,2022-05-16 16:01:03,29.5577,70.3762,100.06,11,0,7.54
150,San-Pedro,CI,2022-05-16 16:01:03,4.7485,-6.6363,83.35,75,100,7.14
151,Pandan,PH,2022-05-16 16:01:04,14.0453,124.1694,79.56,86,88,6.6
152,Airai,TL,2022-05-16 16:01:04,-8.9266,125.4092,58.66,85,9,1.48
153,Bredasdorp,ZA,2022-05-16 16:01:04,-34.5322,20.0403,69.94,26,0,3.56
154,Victoria,HK,2022-05-16 16:00:38,22.2855,114.1577,70.32,80,99,8.01
155,Lavrentiya,RU,2022-05-16 16:01:05,65.5833,-171.0,18.12,85,68,5.97
156,Saltpond,GH,2022-05-16 16:01:05,5.2091,-1.0606,84.13,71,85,11.41
157,Shakawe,BW,2022-05-16 16:01:06,-18.3667,21.85,71.29,30,6,5.64
158,Gizo,SB,2022-05-16 16:01:06,-8.103,156.8419,82.13,71,7,2.82
159,Cap-Haitien,HT,2022-05-16 16:01:07,19.7578,-72.2042,81.66,66,100,10.49
160,Olafsvik,IS,2022-05-16 16:01:07,64.8945,-23.7142,50.27,73,88,7.74
161,Kiama,AU,2022-05-16 16:01:07,-34.6833,150.8667,60.01,71,13,1.99
162,La Palma,US,2022-05-16 15:58:03,33.8464,-118.0467,72.34,78,3,1.99
